age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,row_id,segmento_sociodemo,segmento_educacional
30,technician,married,secondary,False,152,True,True,,5.0,5.0,213,2,-1,0,,False,92,adulto casado,adulto no universitario
36,management,married,tertiary,False,101,True,True,,5.0,5.0,426,1,-1,0,,False,96,adulto casado,adulto universitario
39,technician,married,secondary,False,0,True,False,,5.0,5.0,203,1,-1,0,,False,99,adulto casado,adulto no universitario
34,admin.,married,secondary,False,61,False,True,,5.0,5.0,21,1,-1,0,,False,108,adulto casado,adulto no universitario
36,blue-collar,married,primary,False,448,True,False,,5.0,5.0,286,1,-1,0,,False,114,adulto casado,adulto no universitario
33,management,single,tertiary,False,-67,True,False,,5.0,5.0,364,1,-1,0,,False,118,adulto soltero,adulto universitario
34,admin.,married,,False,3,True,False,,5.0,5.0,120,3,-1,0,,False,123,adulto casado,otros
33,technician,single,secondary,False,105,True,False,,5.0,5.0,262,2,-1,0,,False,126,adulto soltero,adulto no universitario
34,services,married,secondary,False,-16,True,True,,5.0,5.0,78,1,-1,0,,False,128,adulto casado,adulto no universitario
31,blue-collar,married,secondary,False,0,True,False,,5.0,5.0,143,1,-1,0,,False,129,adulto casado,adulto no universitario
32,admin.,single,secondary,False,217,True,False,,5.0,5.0,345,1,-1,0,,False,132,adulto soltero,adulto no universitario
38,technician,single,secondary,False,1685,True,False,,5.0,5.0,185,1,-1,0,,False,133,adulto soltero,adulto no universitario
32,technician,single,secondary,False,0,True,False,,5.0,5.0,136,1,-1,0,,False,137,adulto soltero,adulto no universitario
32,blue-collar,married,secondary,False,517,True,False,,5.0,5.0,528,1,-1,0,,False,139,adulto casado,adulto no universitario
34,self-employed,single,secondary,False,3,True,False,,5.0,5.0,301,1,-1,0,,False,142,adulto soltero,adulto no universitario
37,blue-collar,married,secondary,False,37,True,False,,5.0,5.0,204,1,-1,0,,False,144,adulto casado,adulto no universitario
33,services,married,secondary,False,22,True,False,,5.0,5.0,71,1,-1,0,,False,146,adulto casado,adulto no universitario
39,management,married,secondary,False,18,True,False,,5.0,5.0,85,1,-1,0,,False,154,adulto casado,adulto no universitario
39,technician,single,tertiary,False,47,True,False,,5.0,5.0,181,1,-1,0,,False,162,adulto soltero,adulto universitario
35,blue-collar,married,secondary,False,0,True,False,,5.0,5.0,1056,1,-1,0,,False,171,adulto casado,adulto no universitario
35,retired,single,primary,False,434,False,False,,5.0,5.0,138,1,-1,0,,False,174,adulto soltero,adulto no universitario
34,technician,married,secondary,False,51,True,False,,5.0,5.0,19,2,-1,0,,False,178,adulto casado,adulto no universitario
31,services,married,tertiary,False,37,True,False,,5.0,5.0,313,1,-1,0,,False,181,adulto casado,adulto universitario
35,technician,divorced,secondary,False,787,True,False,,5.0,5.0,683,2,-1,0,,False,182,otros,adulto no universitario
35,services,married,secondary,False,59,True,False,,5.0,5.0,1077,1,-1,0,,False,183,adulto casado,adulto no universitario
38,technician,married,secondary,False,253,True,False,,5.0,5.0,416,1,-1,0,,False,184,adulto casado,adulto no universitario
36,admin.,married,tertiary,False,211,True,False,,5.0,5.0,146,2,-1,0,,False,185,adulto casado,adulto universitario
34,blue-collar,single,secondary,False,53,True,True,,5.0,5.0,346,1,-1,0,,False,189,adulto soltero,adulto no universitario
31,management,single,tertiary,False,0,True,False,,5.0,5.0,562,1,-1,0,,False,190,adulto soltero,adulto universitario
33,management,married,tertiary,False,377,True,False,,5.0,5.0,217,1,-1,0,,False,192,adulto casado,adulto universitario
34,blue-collar,married,secondary,False,243,True,False,,5.0,5.0,291,1,-1,0,,False,195,adulto casado,adulto no universitario
33,blue-collar,single,secondary,False,307,True,False,,5.0,5.0,309,2,-1,0,,False,196,adulto soltero,adulto no universitario
38,services,married,secondary,False,155,True,False,,5.0,5.0,248,1,-1,0,,False,197,adulto casado,adulto no universitario
35,student,single,,False,298,True,False,,5.0,5.0,611,2,-1,0,,False,204,adulto soltero,otros
35,services,married,secondary,False,0,True,False,,5.0,5.0,471,1,-1,0,,False,205,adulto casado,adulto no universitario
39,services,single,,False,257,True,False,,5.0,5.0,408,1,-1,0,,False,209,adulto soltero,otros
38,blue-collar,married,secondary,False,-390,True,False,,5.0,5.0,287,1,-1,0,,False,211,adulto casado,adulto no universitario
36,services,married,secondary,False,301,True,False,,5.0,5.0,210,1,-1,0,,False,214,adulto casado,adulto no universitario
39,management,married,tertiary,False,378,True,True,,5.0,5.0,127,2,-1,0,,False,220,adulto casado,adulto universitario
35,entrepreneur,divorced,secondary,False,-69,True,False,,5.0,5.0,300,1,-1,0,,False,223,otros,adulto no universitario
33,management,single,tertiary,False,34,True,False,,5.0,5.0,27,1,-1,0,,False,228,adulto soltero,adulto universitario
36,blue-collar,married,,False,1033,False,False,,5.0,5.0,238,2,-1,0,,False,229,adulto casado,otros
31,services,married,secondary,False,388,True,False,,5.0,5.0,730,2,-1,0,,False,232,adulto casado,adulto no universitario
37,blue-collar,married,primary,False,0,True,False,,5.0,5.0,79,1,-1,0,,False,238,adulto casado,adulto no universitario
38,admin.,married,secondary,False,0,False,False,,5.0,5.0,151,1,-1,0,,False,243,adulto casado,adulto no universitario
39,blue-collar,married,secondary,False,483,True,False,,5.0,5.0,282,1,-1,0,,False,249,adulto casado,adulto no universitario
34,services,single,secondary,False,0,True,False,,5.0,5.0,142,1,-1,0,,False,253,adulto soltero,adulto no universitario
33,technician,divorced,secondary,False,140,True,False,,5.0,5.0,227,1,-1,0,,False,254,otros,adulto no universitario
39,blue-collar,married,primary,False,279,True,False,,5.0,5.0,361,1,-1,0,,False,256,adulto casado,adulto no universitario
30,technician,single,secondary,False,2573,True,False,,5.0,5.0,67,2,-1,0,,False,258,adulto soltero,adulto no universitario
36,services,married,secondary,False,143,True,True,,5.0,5.0,350,1,-1,0,,False,259,adulto casado,adulto no universitario
34,management,single,tertiary,False,318,True,False,,5.0,5.0,113,2,-1,0,,False,262,adulto soltero,adulto universitario
37,technician,married,secondary,False,275,True,False,,5.0,5.0,132,1,-1,0,,False,263,adulto casado,adulto no universitario
30,student,single,tertiary,False,25,True,False,,5.0,5.0,89,2,-1,0,,False,266,adulto soltero,adulto universitario
37,management,single,tertiary,False,600,True,False,,5.0,5.0,152,1,-1,0,,False,267,adulto soltero,adulto universitario
39,admin.,divorced,secondary,False,-349,True,False,,5.0,5.0,611,2,-1,0,,False,268,otros,adulto no universitario
37,admin.,married,secondary,False,190,True,False,,5.0,5.0,92,2,-1,0,,False,275,adulto casado,adulto no universitario
39,services,divorced,secondary,False,-185,True,False,,5.0,5.0,189,3,-1,0,,False,277,otros,adulto no universitario
38,services,single,secondary,False,570,True,False,,5.0,5.0,75,2,-1,0,,False,279,adulto soltero,adulto no universitario
36,self-employed,married,tertiary,False,19,False,False,,5.0,5.0,189,2,-1,0,,False,280,adulto casado,adulto universitario
30,blue-collar,single,secondary,False,0,True,False,,5.0,5.0,5,2,-1,0,,False,285,adulto soltero,adulto no universitario
33,admin.,single,secondary,False,352,True,False,,5.0,5.0,225,2,-1,0,,False,286,adulto soltero,adulto no universitario
32,blue-collar,married,secondary,False,1331,True,False,,5.0,5.0,286,2,-1,0,,False,289,adulto casado,adulto no universitario
37,management,married,tertiary,False,58,True,False,,5.0,5.0,98,2,-1,0,,False,291,adulto casado,adulto universitario
34,technician,married,secondary,False,19,True,False,,5.0,5.0,362,4,-1,0,,False,295,adulto casado,adulto no universitario
31,blue-collar,single,secondary,False,3,True,False,,5.0,5.0,200,2,-1,0,,False,297,adulto soltero,adulto no universitario
36,services,single,secondary,False,62,True,False,,5.0,5.0,215,2,-1,0,,False,304,adulto soltero,adulto no universitario
37,services,divorced,secondary,False,398,True,True,,5.0,5.0,214,2,-1,0,,False,314,otros,adulto no universitario
33,admin.,single,tertiary,False,193,False,False,,5.0,5.0,132,2,-1,0,,False,315,adulto soltero,adulto universitario
36,blue-collar,married,secondary,False,539,True,True,,5.0,5.0,453,2,-1,0,,False,317,adulto casado,adulto no universitario
32,technician,divorced,tertiary,False,2558,False,False,,5.0,5.0,148,2,-1,0,,False,324,otros,adulto universitario
31,admin.,single,secondary,False,98,True,False,,5.0,5.0,196,2,-1,0,,False,325,adulto soltero,adulto no universitario
30,blue-collar,single,secondary,False,-457,True,False,,5.0,5.0,143,2,-1,0,,False,333,adulto soltero,adulto no universitario
32,services,single,secondary,False,121,True,False,,5.0,5.0,213,2,-1,0,,False,340,adulto soltero,adulto no universitario
34,management,married,tertiary,False,46,True,False,,5.0,5.0,39,4,-1,0,,False,345,adulto casado,adulto universitario
39,blue-collar,married,primary,False,-100,True,False,,5.0,5.0,680,2,-1,0,,False,348,adulto casado,adulto no universitario
34,admin.,married,secondary,False,560,True,False,,5.0,5.0,198,3,-1,0,,False,353,adulto casado,adulto no universitario
36,blue-collar,married,secondary,False,0,True,False,,5.0,5.0,195,2,-1,0,,False,354,adulto casado,adulto no universitario
31,admin.,single,secondary,False,12,True,False,,5.0,5.0,208,2,-1,0,,False,356,adulto soltero,adulto no universitario
33,entrepreneur,single,tertiary,False,1068,True,False,,5.0,5.0,396,2,-1,0,,False,358,adulto soltero,adulto universitario
38,admin.,divorced,secondary,False,308,True,False,,6.0,5.0,102,1,-1,0,,False,367,otros,adulto no universitario
38,admin.,divorced,tertiary,False,86,True,False,,6.0,5.0,218,1,-1,0,,False,369,otros,adulto universitario
34,services,married,secondary,False,22,True,False,,6.0,5.0,344,1,-1,0,,False,371,adulto casado,adulto no universitario
38,admin.,married,secondary,False,46,True,True,,6.0,5.0,195,1,-1,0,,False,372,adulto casado,adulto no universitario
37,blue-collar,married,secondary,False,1293,False,False,,6.0,5.0,652,1,-1,0,,False,373,adulto casado,adulto no universitario
38,admin.,single,secondary,False,393,False,False,,6.0,5.0,184,2,-1,0,,False,377,adulto soltero,adulto no universitario
33,management,married,tertiary,False,0,True,False,,6.0,5.0,290,1,-1,0,,False,379,adulto casado,adulto universitario
38,blue-collar,married,secondary,False,757,True,False,,6.0,5.0,133,1,-1,0,,False,381,adulto casado,adulto no universitario
38,blue-collar,married,secondary,False,20,True,False,,6.0,5.0,402,1,-1,0,,False,385,adulto casado,adulto no universitario
32,unemployed,married,secondary,False,10,True,False,,6.0,5.0,501,4,-1,0,,False,388,adulto casado,adulto no universitario
37,technician,married,tertiary,False,8730,True,False,,6.0,5.0,149,1,-1,0,,False,392,adulto casado,adulto universitario
32,technician,single,secondary,False,0,True,True,,6.0,5.0,135,3,-1,0,,False,396,adulto soltero,adulto no universitario
38,admin.,married,secondary,False,1,False,False,,6.0,5.0,76,1,-1,0,,False,398,adulto casado,adulto no universitario
34,blue-collar,married,secondary,False,283,False,True,,6.0,5.0,199,1,-1,0,,False,399,adulto casado,adulto no universitario
38,technician,married,secondary,False,284,True,False,,6.0,5.0,483,1,-1,0,,False,409,adulto casado,adulto no universitario
32,services,single,secondary,False,406,True,False,,6.0,5.0,227,1,-1,0,,False,411,adulto soltero,adulto no universitario
39,admin.,single,secondary,False,-25,True,False,,6.0,5.0,576,1,-1,0,,False,413,adulto soltero,adulto no universitario
36,entrepreneur,married,tertiary,False,1169,True,False,,6.0,5.0,168,2,-1,0,,False,415,adulto casado,adulto universitario
34,admin.,divorced,secondary,False,67,True,False,,6.0,5.0,90,1,-1,0,,False,416,otros,adulto no universitario
33,technician,married,secondary,True,72,True,False,,6.0,5.0,623,1,-1,0,,False,420,adulto casado,adulto no universitario
32,management,single,tertiary,False,151,True,False,,6.0,5.0,118,1,-1,0,,False,422,adulto soltero,adulto universitario
39,admin.,single,secondary,False,113,True,False,,6.0,5.0,342,1,-1,0,,False,423,adulto soltero,adulto no universitario
38,technician,single,tertiary,False,9,True,False,,6.0,5.0,185,3,-1,0,,False,425,adulto soltero,adulto universitario
39,services,married,secondary,False,1142,True,False,,6.0,5.0,276,1,-1,0,,False,427,adulto casado,adulto no universitario
38,technician,single,tertiary,False,4325,True,False,,6.0,5.0,87,1,-1,0,,False,429,adulto soltero,adulto universitario
39,blue-collar,married,secondary,False,0,True,False,,6.0,5.0,262,1,-1,0,,False,433,adulto casado,adulto no universitario
32,blue-collar,married,secondary,False,320,True,False,,6.0,5.0,198,2,-1,0,,False,435,adulto casado,adulto no universitario
35,management,single,tertiary,False,560,True,False,,6.0,5.0,181,1,-1,0,,False,438,adulto soltero,adulto universitario
35,admin.,married,secondary,False,530,True,False,,6.0,5.0,149,1,-1,0,,False,440,adulto casado,adulto no universitario
34,technician,single,tertiary,False,242,True,False,,6.0,5.0,112,1,-1,0,,False,442,adulto soltero,adulto universitario
36,blue-collar,married,secondary,False,139,True,False,,6.0,5.0,309,2,-1,0,,False,443,adulto casado,adulto no universitario
34,technician,married,secondary,False,367,True,False,,6.0,5.0,140,1,-1,0,,False,445,adulto casado,adulto no universitario
39,technician,single,,False,45248,True,False,,6.0,5.0,1623,1,-1,0,,True,447,adulto soltero,otros
32,services,single,secondary,False,310,True,False,,6.0,5.0,144,1,-1,0,,False,449,adulto soltero,adulto no universitario
37,management,married,tertiary,False,231,True,True,,6.0,5.0,451,2,-1,0,,False,454,adulto casado,adulto universitario
34,blue-collar,married,secondary,False,270,True,True,,6.0,5.0,159,1,-1,0,,False,455,adulto casado,adulto no universitario
37,technician,married,secondary,False,1,True,False,,6.0,5.0,608,1,-1,0,,True,458,adulto casado,adulto no universitario
33,blue-collar,single,secondary,True,-60,False,False,,6.0,5.0,243,1,-1,0,,False,459,adulto soltero,adulto no universitario
35,blue-collar,married,secondary,False,89,True,False,,6.0,5.0,145,2,-1,0,,False,460,adulto casado,adulto no universitario
39,blue-collar,married,primary,False,0,True,False,,6.0,5.0,262,2,-1,0,,False,462,adulto casado,adulto no universitario
39,unemployed,married,primary,False,408,True,False,,6.0,5.0,53,1,-1,0,,False,464,adulto casado,adulto no universitario
36,services,single,primary,False,58,True,False,,6.0,5.0,134,1,-1,0,,False,465,adulto soltero,adulto no universitario
36,admin.,single,secondary,False,20,True,False,,6.0,5.0,186,1,-1,0,,False,467,adulto soltero,adulto no universitario
39,housemaid,single,primary,False,109,True,False,,6.0,5.0,699,3,-1,0,,False,472,adulto soltero,adulto no universitario
39,blue-collar,married,secondary,False,983,True,False,,6.0,5.0,97,1,-1,0,,False,474,adulto casado,adulto no universitario
34,admin.,married,secondary,False,869,False,False,,6.0,5.0,1677,1,-1,0,,True,475,adulto casado,adulto no universitario
31,management,single,secondary,False,301,True,False,,6.0,5.0,82,1,-1,0,,False,478,adulto soltero,adulto no universitario
37,admin.,single,secondary,False,140,True,False,,6.0,5.0,310,1,-1,0,,False,479,adulto soltero,adulto no universitario
39,management,single,secondary,False,1877,True,False,,6.0,5.0,185,1,-1,0,,False,480,adulto soltero,adulto no universitario
30,services,single,secondary,False,209,True,False,,6.0,5.0,30,2,-1,0,,False,485,adulto soltero,adulto no universitario
32,technician,married,secondary,False,0,True,False,,6.0,5.0,176,2,-1,0,,False,491,adulto casado,adulto no universitario
36,blue-collar,married,secondary,False,0,True,False,,6.0,5.0,337,1,-1,0,,False,493,adulto casado,adulto no universitario
30,blue-collar,divorced,secondary,False,-209,True,False,,6.0,5.0,188,2,-1,0,,False,495,otros,adulto no universitario
39,admin.,single,secondary,False,0,True,False,,6.0,5.0,174,2,-1,0,,False,496,adulto soltero,adulto no universitario
39,blue-collar,divorced,secondary,False,42,True,False,,6.0,5.0,226,2,-1,0,,False,497,otros,adulto no universitario
37,technician,single,secondary,False,17,True,False,,6.0,5.0,164,1,-1,0,,False,500,adulto soltero,adulto no universitario
32,technician,single,,False,-170,False,False,,6.0,5.0,46,1,-1,0,,False,502,adulto soltero,otros
37,management,single,tertiary,False,230,True,True,,6.0,5.0,374,1,-1,0,,False,503,adulto soltero,adulto universitario
34,admin.,married,secondary,False,507,True,False,,6.0,5.0,190,1,-1,0,,False,512,adulto casado,adulto no universitario
31,technician,married,secondary,False,17,True,True,,6.0,5.0,120,1,-1,0,,False,519,adulto casado,adulto no universitario
34,blue-collar,single,tertiary,False,1011,True,False,,6.0,5.0,136,1,-1,0,,False,520,adulto soltero,adulto universitario
38,management,married,secondary,False,517,True,False,,6.0,5.0,288,2,-1,0,,False,527,adulto casado,adulto no universitario
30,admin.,divorced,secondary,False,83,True,True,,6.0,5.0,310,1,-1,0,,False,530,otros,adulto no universitario
31,housemaid,married,primary,False,203,True,False,,6.0,5.0,604,3,-1,0,,False,532,adulto casado,adulto no universitario
34,blue-collar,married,,False,245,True,False,,6.0,5.0,13,1,-1,0,,False,539,adulto casado,otros
34,blue-collar,married,primary,False,-144,True,False,,6.0,5.0,79,2,-1,0,,False,540,adulto casado,adulto no universitario
34,admin.,single,secondary,False,0,True,False,,6.0,5.0,150,1,-1,0,,False,544,adulto soltero,adulto no universitario
36,admin.,married,secondary,False,639,True,False,,6.0,5.0,191,1,-1,0,,False,546,adulto casado,adulto no universitario
36,self-employed,married,tertiary,False,107,True,False,,6.0,5.0,146,1,-1,0,,False,549,adulto casado,adulto universitario
30,admin.,married,secondary,False,46,True,False,,6.0,5.0,114,2,-1,0,,False,552,adulto casado,adulto no universitario
30,student,single,tertiary,False,34,True,False,,6.0,5.0,289,1,-1,0,,False,553,adulto soltero,adulto universitario
33,blue-collar,married,secondary,False,-10,True,False,,6.0,5.0,123,1,-1,0,,False,555,adulto casado,adulto no universitario
36,admin.,married,secondary,False,-106,True,False,,6.0,5.0,130,2,-1,0,,False,556,adulto casado,adulto no universitario
39,services,divorced,primary,False,471,True,False,,6.0,5.0,161,2,-1,0,,False,557,otros,adulto no universitario
39,blue-collar,divorced,,False,170,True,False,,6.0,5.0,268,2,-1,0,,False,559,otros,otros
36,admin.,divorced,secondary,False,131,True,False,,6.0,5.0,153,1,-1,0,,False,562,otros,adulto no universitario
35,entrepreneur,married,secondary,True,204,True,False,,6.0,5.0,424,2,-1,0,,False,563,adulto casado,adulto no universitario
38,management,married,,False,1759,True,False,,6.0,5.0,440,1,-1,0,,False,567,adulto casado,otros
34,blue-collar,married,secondary,False,0,False,False,,6.0,5.0,195,1,-1,0,,False,569,adulto casado,adulto no universitario
38,technician,married,,False,573,True,False,,6.0,5.0,87,1,-1,0,,False,571,adulto casado,otros
39,blue-collar,divorced,primary,False,190,True,True,,6.0,5.0,96,2,-1,0,,False,581,otros,adulto no universitario
37,technician,married,primary,False,0,True,False,,6.0,5.0,76,4,-1,0,,False,585,adulto casado,adulto no universitario
35,blue-collar,married,primary,False,0,True,False,,6.0,5.0,154,2,-1,0,,False,586,adulto casado,adulto no universitario
37,services,married,secondary,False,358,True,False,,6.0,5.0,390,3,-1,0,,False,588,adulto casado,adulto no universitario
30,technician,single,secondary,False,0,True,False,,6.0,5.0,369,1,-1,0,,False,589,adulto soltero,adulto no universitario
37,blue-collar,married,primary,False,-325,True,True,,6.0,5.0,112,2,-1,0,,False,590,adulto casado,adulto no universitario
36,technician,single,secondary,False,-15,True,False,,6.0,5.0,341,3,-1,0,,False,591,adulto soltero,adulto no universitario
38,technician,married,secondary,False,581,True,False,,6.0,5.0,79,1,-1,0,,False,592,adulto casado,adulto no universitario
30,blue-collar,married,secondary,False,450,False,False,,6.0,5.0,526,2,-1,0,,False,598,adulto casado,adulto no universitario
31,self-employed,married,secondary,False,0,True,False,,6.0,5.0,36,5,-1,0,,False,600,adulto casado,adulto no universitario
38,blue-collar,married,secondary,False,384,True,False,,6.0,5.0,1906,3,-1,0,,False,601,adulto casado,adulto no universitario
37,blue-collar,married,secondary,False,395,True,False,,6.0,5.0,219,2,-1,0,,False,602,adulto casado,adulto no universitario
37,services,single,,False,-118,True,False,,6.0,5.0,147,2,-1,0,,False,603,adulto soltero,otros
39,blue-collar,married,secondary,False,285,True,True,,6.0,5.0,209,1,-1,0,,False,606,adulto casado,adulto no universitario
32,services,married,secondary,False,243,True,True,,6.0,5.0,144,1,-1,0,,False,610,adulto casado,adulto no universitario
39,management,married,tertiary,False,2877,True,False,,6.0,5.0,278,1,-1,0,,False,616,adulto casado,adulto universitario
31,blue-collar,single,tertiary,False,60,True,True,,6.0,5.0,389,1,-1,0,,False,617,adulto soltero,adulto universitario
39,blue-collar,married,primary,False,2226,True,False,,6.0,5.0,158,1,-1,0,,False,618,adulto casado,adulto no universitario
33,technician,divorced,secondary,False,7,True,True,,6.0,5.0,87,1,-1,0,,False,622,otros,adulto no universitario
30,technician,married,secondary,False,484,True,False,,6.0,5.0,703,1,-1,0,,True,625,adulto casado,adulto no universitario
31,management,single,tertiary,False,1852,True,False,,6.0,5.0,170,3,-1,0,,False,626,adulto soltero,adulto universitario
35,unemployed,married,secondary,False,533,True,False,,6.0,5.0,802,1,-1,0,,False,627,adulto casado,adulto no universitario
34,admin.,single,,False,2434,True,False,,6.0,5.0,218,4,-1,0,,False,629,adulto soltero,otros
32,technician,married,secondary,False,90,True,True,,6.0,5.0,57,2,-1,0,,False,630,adulto casado,adulto no universitario
32,admin.,single,tertiary,False,395,True,False,,6.0,5.0,241,3,-1,0,,False,632,adulto soltero,adulto universitario
33,services,married,tertiary,False,85,False,False,,6.0,5.0,262,3,-1,0,,False,634,adulto casado,adulto universitario
30,unemployed,divorced,secondary,False,1144,True,False,,6.0,5.0,252,1,-1,0,,False,638,otros,adulto no universitario
35,admin.,married,secondary,False,69,True,True,,6.0,5.0,235,2,-1,0,,False,640,adulto casado,adulto no universitario
33,blue-collar,married,primary,False,332,True,False,,6.0,5.0,116,2,-1,0,,False,642,adulto casado,adulto no universitario
37,blue-collar,single,secondary,False,240,True,False,,6.0,5.0,246,1,-1,0,,False,643,adulto soltero,adulto no universitario
38,entrepreneur,married,tertiary,False,898,True,False,,6.0,5.0,132,2,-1,0,,False,646,adulto casado,adulto universitario
37,technician,married,secondary,False,123,True,True,,6.0,5.0,530,2,-1,0,,False,647,adulto casado,adulto no universitario
31,student,single,secondary,False,252,True,False,,6.0,5.0,175,3,-1,0,,False,648,adulto soltero,adulto no universitario
38,admin.,single,secondary,False,221,True,False,,6.0,5.0,211,2,-1,0,,False,652,adulto soltero,adulto no universitario
39,admin.,married,secondary,False,104,True,False,,6.0,5.0,412,1,-1,0,,False,654,adulto casado,adulto no universitario
33,blue-collar,married,secondary,False,-349,True,False,,6.0,5.0,191,1,-1,0,,False,656,adulto casado,adulto no universitario
38,management,married,,False,1349,True,False,,6.0,5.0,100,1,-1,0,,False,660,adulto casado,otros
32,admin.,married,tertiary,False,281,True,False,,6.0,5.0,226,1,-1,0,,False,661,adulto casado,adulto universitario
33,admin.,single,secondary,False,101,True,False,,6.0,5.0,392,1,-1,0,,False,663,adulto soltero,adulto no universitario
34,blue-collar,married,secondary,False,848,True,False,,6.0,5.0,684,2,-1,0,,False,664,adulto casado,adulto no universitario
35,admin.,single,secondary,False,148,True,False,,6.0,5.0,128,2,-1,0,,False,667,adulto soltero,adulto no universitario
31,blue-collar,single,secondary,False,0,True,False,,6.0,5.0,273,2,-1,0,,False,672,adulto soltero,adulto no universitario
31,management,single,tertiary,False,-173,True,False,,6.0,5.0,396,2,-1,0,,False,675,adulto soltero,adulto universitario
38,management,married,tertiary,False,389,True,False,,6.0,5.0,262,1,-1,0,,False,676,adulto casado,adulto universitario
37,blue-collar,married,primary,False,215,True,True,,6.0,5.0,308,3,-1,0,,False,677,adulto casado,adulto no universitario
35,technician,married,secondary,False,-131,True,False,,6.0,5.0,467,2,-1,0,,False,678,adulto casado,adulto no universitario
31,management,single,secondary,False,783,True,False,,6.0,5.0,320,1,-1,0,,False,679,adulto soltero,adulto no universitario
36,blue-collar,married,primary,False,23,True,False,,6.0,5.0,400,2,-1,0,,False,692,adulto casado,adulto no universitario
37,technician,married,secondary,False,710,True,False,,6.0,5.0,378,3,-1,0,,False,693,adulto casado,adulto no universitario
39,services,married,secondary,False,1205,True,False,,6.0,5.0,118,2,-1,0,,False,694,adulto casado,adulto no universitario
36,technician,married,secondary,False,368,True,True,,6.0,5.0,1597,2,-1,0,,True,695,adulto casado,adulto no universitario
30,technician,single,,False,-48,True,False,,6.0,5.0,152,2,-1,0,,False,699,adulto soltero,otros
33,admin.,married,secondary,False,21,False,False,,6.0,5.0,189,3,-1,0,,False,703,adulto casado,adulto no universitario
35,technician,single,tertiary,False,226,True,True,,6.0,5.0,283,3,-1,0,,False,708,adulto soltero,adulto universitario
33,blue-collar,married,secondary,False,372,True,False,,6.0,5.0,132,2,-1,0,,False,710,adulto casado,adulto no universitario
31,admin.,married,secondary,False,0,True,True,,6.0,5.0,144,2,-1,0,,False,711,adulto casado,adulto no universitario
36,entrepreneur,married,tertiary,False,125,True,False,,6.0,5.0,95,3,-1,0,,False,713,adulto casado,adulto universitario
39,blue-collar,married,secondary,False,607,True,False,,6.0,5.0,99,2,-1,0,,False,718,adulto casado,adulto no universitario
38,admin.,married,secondary,False,3047,True,False,,6.0,5.0,285,2,-1,0,,False,720,adulto casado,adulto no universitario
36,blue-collar,married,secondary,False,688,True,False,,6.0,5.0,174,2,-1,0,,False,725,adulto casado,adulto no universitario
37,blue-collar,married,secondary,False,183,True,False,,6.0,5.0,112,4,-1,0,,False,733,adulto casado,adulto no universitario
34,management,married,tertiary,False,105,True,False,,6.0,5.0,314,3,-1,0,,False,734,adulto casado,adulto universitario
35,services,married,secondary,False,109,True,False,,6.0,5.0,597,3,-1,0,,False,735,adulto casado,adulto no universitario
35,blue-collar,single,secondary,False,376,True,True,,6.0,5.0,207,3,-1,0,,False,736,adulto soltero,adulto no universitario
35,management,single,tertiary,False,550,True,False,,6.0,5.0,55,2,-1,0,,False,740,adulto soltero,adulto universitario
31,entrepreneur,married,tertiary,False,281,True,False,,6.0,5.0,206,2,-1,0,,False,748,adulto casado,adulto universitario
